,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O5,T6,0.922170877,0.146713231,0.015130817,0.08108132,0.035087304,0.130741056,Genuine
O6,T6,0.978100761,0.008069146,0.001290641,0.35683141,0.035085019,0.129221116,Genuine
O7,T6,0.905635033,0.150787733,0.01059699,0.056548043,0.034007931,0.128079463,Genuine
O8,T6,0.940981492,0.035220695,0.004628691,0.359651863,0.035575507,0.130923265,Genuine
O9,T6,0.895667082,0.057871829,0.004434575,0.19665431,0.034048256,0.139570864,Genuine
O10,T6,0.888838726,0.115047024,0.011899475,0.087379093,0.036711522,0.126907647,Genuine
O11,T6,0.87904124,0.060398274,0.005880607,0.167710169,0.03653846,0.147881918,Genuine
O12,T6,0.950582145,0.021917583,0.001602979,0.298378027,0.03436595,0.127321185,Genuine
O13,T6,0.96680325,0.024566147,0.001700637,0.316599032,0.035744288,0.130112215,Genuine
O14,T6,0.862452408,0.121803224,0.017505663,0.153130178,0.040575918,0.18385576,Genuine
O15,T6,0.832261485,0.262471414,0.028585414,0.153528178,0.038961941,0.150939297,Genuine
O16,T6,0.935906058,0.024293779,0.002079429,0.343716831,0.035422577,0.130556752,Genuine
O17,T6,0.934173978,0.043958876,0.002818829,0.28347784,0.034868246,0.133349321,Genuine
O18,T6,0.934289805,0.03779548,0.002412001,0.273953242,0.035137589,0.135082568,Genuine
O19,T6,0.818572976,0.261614856,0.021290398,0.149402164,0.031172839,0.128971357,Genuine
O20,T6,0.872043658,0.045981422,0.005903209,0.248835681,0.03834269,0.138089414,Genuine
O1,T7,0.863423789,0.084042994,0.005549859,0.056529732,0.0336898,0.121832827,Genuine
O2,T7,0.880627174,0.052388032,0.002730654,0.328782685,0.034247435,0.121018768,Genuine
O3,T7,0.839502415,0.19674105,0.013281725,0.074874223,0.026422019,0.10675553,Genuine
O4,T7,0.797120741,0.227477237,0.008479426,0.067267121,0.032112298,0.117280246,Genuine
O5,T7,0.966046721,0.015281734,0.001592357,0.322170792,0.02443283,0.077439069,Genuine
O6,T7,0.934581641,0.050143203,0.008822374,0.152609234,0.037550426,0.129648619,Genuine
O7,T7,0.920030253,0.136960225,0.015073754,0.087144007,0.044974739,0.123430539,Genuine
O8,T7,0.848398281,0.178556316,0.018922535,0.108722091,0.047760403,0.145599544,Genuine
O9,T7,0.893070594,0.057202048,0.004345537,0.243320244,0.034324915,0.122968703,Genuine
O10,T7,0.938332151,0.035440807,0.003063145,0.148076117,0.034829542,0.117272684,Genuine
O11,T7,0.830548509,0.072678303,0.009475133,0.166697276,0.034803324,0.139589533,Genuine
O12,T7,0.935871067,0.04554079,0.001976335,0.271220826,0.033890577,0.119367873,Genuine
O13,T7,0.897638292,0.045657551,0.001974522,0.272318612,0.033505072,0.120635837,Genuine
O14,T7,0.958273115,0.025629737,0.001526228,0.294104598,0.035270534,0.119287631,Genuine
O15,T7,0.7747388,0.28189029,0.03759395,0.174477442,0.042479467,0.180782858,Genuine
O16,T7,0.759753164,0.304629817,0.026701285,0.180007741,0.034135638,0.194067798,Genuine
O17,T7,0.872623689,0.188031091,0.014128319,0.079145263,0.027343033,0.111264106,Genuine
O18,T7,0.917878561,0.049979683,0.003111757,0.300208724,0.034277952,0.122415033,Genuine
O19,T7,0.904570361,0.081321472,0.002264683,0.189827419,0.034227461,0.121261164,Genuine
O20,T7,0.901986501,0.059615762,0.003545399,0.306874119,0.034606255,0.126051786,Genuine
O1,T8,0.921094871,0.039623536,0.002389054,0.34001786,0.042654856,0.106880947,Genuine
O2,T8,0.699732884,0.279594619,0.019595885,0.126125918,0.031714221,0.115153648,Genuine
O3,T8,0.898165177,0.042552015,0.002954,0.347047738,0.042755167,0.10575628,Genuine
O4,T8,0.702004998,0.347243064,0.034153754,0.187313497,0.03754176,0.139260562,Genuine
O5,T8,0.939957762,0.024133751,0.001817558,0.285977483,0.042368725,0.104232215,Genuine
O6,T8,0.953560085,0.022775932,0.002069955,0.207390625,0.042538238,0.104667318,Genuine
O7,T8,0.911200748,0.147144777,0.022245671,0.133590983,0.049752728,0.155892225,Genuine
O8,T8,0.882305105,0.062109446,0.004811402,0.371551264,0.041087715,0.104752364,Genuine
O9,T8,0.963874154,0.020575637,0.002400089,0.374328135,0.044562255,0.104896422,Genuine
O10,T8,0.925924092,0.043841729,0.002004756,0.302735989,0.042148549,0.103581274,Genuine
O11,T8,0.773426954,0.121047088,0.019643407,0.198151504,0.046390868,0.162925073,Genuine
O12,T8,0.907085034,0.052558061,0.002170633,0.326815661,0.041578417,0.106012765,Genuine
O13,T8,0.885956555,0.081859547,0.002414873,0.315036824,0.040790982,0.105448772,Genuine
O14,T8,0.912504393,0.085558,0.007500889,0.088921024,0.037599661,0.112014401,Genuine
O15,T8,0.612971944,0.339320236,0.037243567,0.213385442,0.038063557,0.14031892,Genuine
O16,T8,0.823246158,0.253845618,0.01777977,0.109927736,0.033892318,0.134823522,Genuine
O17,T8,0.929323083,0.034058935,0.003322222,0.299207043,0.043925692,0.108130646,Genuine
O18,T8,0.958185231,0.036158942,0.002272197,0.261393632,0.041998862,0.104712201,Genuine
O19,T8,0.847838095,0.196145215,0.017329821,0.084708495,0.034572086,0.132832527,Genuine
O20,T8,0.863090366,0.068108337,0.007851813,0.365565396,0.042247282,0.112933209,Genuine
O1,T9,0.813818629,0.172083048,0.011694933,0.096679737,0.021072374,0.134751658,Genuine
O2,T9,0.870249035,0.083454968,0.00367193,0.291999141,0.019504252,0.14776353,Genuine
O3,T9,0.882659595,0.069285572,0.002636619,0.205393248,0.020426297,0.154136888,Genuine
O4,T9,0.920649709,0.057699197,0.002185962,0.249415532,0.019886066,0.150851086,Genuine
O5,T9,0.93864001,0.109539951,0.00986813,0.056301098,0.024223399,0.10410616,Genuine
O6,T9,0.952894224,0.021675091,0.001745532,0.263014873,0.02078524,0.153140364,Genuine
O7,T9,0.931028594,0.118109883,0.012337108,0.058147124,0.024479864,0.094155409,Genuine
O8,T9,0.799002269,0.236489802,0.01791884,0.120926041,0.02286683,0.106622086,Genuine
O9,T9,0.908959984,0.056665369,0.003552083,0.232260001,0.02089496,0.164563884,Genuine
O10,T9,0.941202454,0.028742783,0.002044367,0.342735903,0.020487158,0.15487893,Genuine
O11,T9,0.820644949,0.126254161,0.016778122,0.169880282,0.033325243,0.23931817,Genuine
